Brand,Model,Year,Body Type,Cylinders,Fuel Economy Highway,Fuel Economy City,Fuel Economy Average,Seats,Transmission,Make,Style,Horsepower,Fuel Type,Color,Miles Driven,Condition,Title Status,Damages,Number of Owners,Title Available,Payment Status,Sale Price
Kia,Optima,2006,Wagon,10,25.4,18.6,22,4,Automatic,Kia,Kia Optima Wagon,558,Hybrid,Blue,217164,Used,Salvage,Flood Damage,2,Available,Unpaid,27820.96
Subaru,Crosstrek,2008,Sedan,12,33.1,24.2,28.6,3,Automatic,Subaru,Subaru Crosstrek Sedan,350,Hybrid,Blue,80077,New,Rebuilt,Minor Scratches,1,Available,Unpaid,32849.57
Ford,Explorer,2010,Convertible,10,24.4,22,23.2,2,CVT,Ford,Ford Explorer Convertible,379,Hybrid,Blue,195602,Used,Clean,None,5,Available,Paid,43947.86
Kia,Optima,2016,Convertible,8,30.7,24.7,27.7,6,Dual-Clutch,Kia,Kia Optima Convertible,493,Hybrid,Blue,49278,New,Clean,None,3,Not Available,Paid,15621.05
Nissan,Sentra,2015,Wagon,10,31.9,24.8,28.4,6,Automatic,Nissan,Nissan Sentra Wagon,543,Hybrid,Blue,14118,Used,Clean,None,3,Not Available,Paid,59990.71
Toyota,Corolla,2010,Sedan,4,20.2,13.9,17.1,4,Manual,Toyota,Toyota Corolla Sedan,438,Hybrid,Blue,4233,New,Rebuilt,Severe Collision,4,Available,Unpaid,24295.5
Toyota,RAV4,2002,Convertible,12,17.6,15.5,16.6,6,Dual-Clutch,Toyota,Toyota RAV4 Convertible,271,Hybrid,Blue,71619,New,Salvage,Minor Scratches,3,Not Available,Paid,17870.25
Honda,Fit,2021,Hatchback,12,33.1,24.7,28.9,6,Dual-Clutch,Honda,Honda Fit Hatchback,482,Hybrid,Blue,218672,New,Rebuilt,Frame Damage,1,Available,Paid,70318.93
Nissan,Frontier,2018,Truck,6,20.2,17.8,19,7,Dual-Clutch,Nissan,Nissan Frontier Truck,577,Hybrid,Blue,170035,Used,Rebuilt,Flood Damage,4,Available,Paid,14370.31
Nissan,Frontier,2011,SUV,4,30.9,22.6,26.8,7,CVT,Nissan,Nissan Frontier SUV,103,Hybrid,Blue,131615,Used,Salvage,Frame Damage,3,Available,Unpaid,27937.75
Honda,Accord,1995,Hatchback,8,27.3,18.2,22.8,7,Automatic,Honda,Honda Accord Hatchback,596,Hybrid,Blue,87540,New,Clean,None,1,Available,Paid,63584.72
Mercedes,S-Class,2000,SUV,3,28.2,24.6,26.4,3,Manual,Mercedes,Mercedes S-Class SUV,376,Hybrid,Blue,21441,New,Salvage,Flood Damage,4,Not Available,Unpaid,30237.46
Ford,Escape,2003,SUV,12,17.5,13.8,15.7,3,Dual-Clutch,Ford,Ford Escape SUV,267,Hybrid,Blue,49337,New,Rebuilt,Frame Damage,5,Available,Paid,26789.58
Subaru,Impreza,2001,Truck,12,19,12.9,15.9,6,Manual,Subaru,Subaru Impreza Truck,445,Hybrid,Blue,75269,Used,Rebuilt,Flood Damage,5,Available,Paid,29484.45
BMW,3 Series,2009,Truck,12,25.5,21,23.2,2,Dual-Clutch,BMW,BMW 3 Series Truck,184,Hybrid,Blue,113895,New,Rebuilt,Severe Collision,2,Available,Unpaid,31145.41
Ford,Mustang,2007,Coupe,4,32.1,29,30.6,5,Dual-Clutch,Ford,Ford Mustang Coupe,508,Hybrid,Blue,65961,New,Salvage,Flood Damage,4,Not Available,Unpaid,9035.17
Mercedes,GLE,2007,Coupe,6,22,15.9,18.9,7,CVT,Mercedes,Mercedes GLE Coupe,183,Hybrid,Blue,125297,Used,Clean,None,3,Available,Paid,79185.65
Subaru,Forester,1997,Hatchback,10,29.2,23.9,26.5,5,Automatic,Subaru,Subaru Forester Hatchback,514,Hybrid,Blue,223706,Used,Rebuilt,Severe Collision,2,Not Available,Unpaid,62343.8
Toyota,Corolla,2014,Wagon,8,24.6,18.4,21.5,6,Dual-Clutch,Toyota,Toyota Corolla Wagon,143,Hybrid,Blue,104759,New,Salvage,Severe Collision,4,Not Available,Unpaid,25945.95
Chevrolet,Equinox,2009,Wagon,10,37,29.7,33.4,4,Manual,Chevrolet,Chevrolet Equinox Wagon,596,Hybrid,Blue,185810,New,Rebuilt,Minor Scratches,3,Not Available,Unpaid,35277.38
Mercedes,C-Class,2003,Truck,12,34.6,28.7,31.6,5,CVT,Mercedes,Mercedes C-Class Truck,279,Hybrid,Blue,235053,Used,Clean,None,1,Available,Unpaid,9740.77
Subaru,Crosstrek,2023,Truck,8,29.5,25.7,27.6,6,Automatic,Subaru,Subaru Crosstrek Truck,190,Hybrid,Blue,112790,New,Rebuilt,Minor Scratches,4,Not Available,Paid,66864.88
Subaru,Crosstrek,2014,Convertible,6,28.9,25.3,27.1,6,CVT,Subaru,Subaru Crosstrek Convertible,512,Hybrid,Blue,33592,Used,Clean,None,3,Not Available,Unpaid,67078.75
Subaru,Crosstrek,2017,Convertible,3,37.3,28.9,33.1,5,Manual,Subaru,Subaru Crosstrek Convertible,334,Hybrid,Blue,186464,New,Clean,None,4,Available,Unpaid,16069.62
Ford,Explorer,2001,Truck,6,30.4,26.2,28.3,7,Manual,Ford,Ford Explorer Truck,488,Hybrid,Blue,83879,Used,Salvage,Severe Collision,1,Available,Unpaid,23672.73
Mercedes,GLC,2014,Hatchback,3,28.3,26.1,27.2,6,CVT,Mercedes,Mercedes GLC Hatchback,294,Hybrid,Blue,156207,Used,Rebuilt,Flood Damage,3,Not Available,Unpaid,69710.8
Subaru,Forester,2013,SUV,4,26.3,17.2,21.8,4,CVT,Subaru,Subaru Forester SUV,346,Hybrid,Blue,207199,New,Clean,None,4,Not Available,Unpaid,76075.2
Honda,CR-V,1995,Coupe,12,25.3,17.2,21.2,5,CVT,Honda,Honda CR-V Coupe,335,Hybrid,Blue,59408,Used,Clean,None,4,Not Available,Paid,8997.5
Hyundai,Tucson,2017,Coupe,10,19.8,16.2,18,2,CVT,Hyundai,Hyundai Tucson Coupe,553,Hybrid,Blue,221739,New,Clean,None,2,Available,Unpaid,28569.43
Kia,Optima,2009,Wagon,10,19.7,15,17.4,7,Automatic,Kia,Kia Optima Wagon,205,Hybrid,Blue,8876,New,Salvage,Minor Scratches,2,Not Available,Paid,48390.82
Mercedes,E-Class,1998,SUV,12,36.2,26.6,31.4,3,Dual-Clutch,Mercedes,Mercedes E-Class SUV,277,Hybrid,Blue,138150,Used,Rebuilt,Severe Collision,1,Available,Unpaid,21473.64
Toyota,Highlander,2009,Wagon,6,29.9,25.4,27.6,4,Manual,Toyota,Toyota Highlander Wagon,262,Hybrid,Blue,24769,Used,Rebuilt,Minor Scratches,1,Not Available,Paid,29976.61
Nissan,Rogue,2000,Sedan,12,32,26.1,29.1,4,CVT,Nissan,Nissan Rogue Sedan,495,Hybrid,Blue,194613,Used,Rebuilt,Flood Damage,1,Not Available,Unpaid,32820.42
Ford,Fusion,2011,Sedan,4,34.1,24.5,29.3,6,Dual-Clutch,Ford,Ford Fusion Sedan,319,Hybrid,Blue,128363,New,Salvage,Minor Scratches,5,Available,Unpaid,47382.38
Subaru,Impreza,1997,Hatchback,6,32,26.9,29.4,3,Dual-Clutch,Subaru,Subaru Impreza Hatchback,412,Hybrid,Blue,114375,Used,Salvage,Severe Collision,1,Available,Paid,65676.99
Ford,Explorer,2020,Wagon,6,17.8,13.6,15.7,6,Manual,Ford,Ford Explorer Wagon,571,Hybrid,Blue,18223,Used,Clean,None,1,Not Available,Unpaid,56836.77
Honda,Pilot,2016,Wagon,8,24.6,15.2,19.9,6,Automatic,Honda,Honda Pilot Wagon,380,Hybrid,Blue,30551,Used,Clean,None,3,Available,Paid,56916.05
Mercedes,GLC,2019,Convertible,12,21.2,16.4,18.8,5,Dual-Clutch,Mercedes,Mercedes GLC Convertible,209,Hybrid,Blue,120265,New,Rebuilt,Minor Scratches,4,Available,Paid,62409.65
Ford,Fusion,2012,Coupe,10,25.9,17.2,21.5,5,Automatic,Ford,Ford Fusion Coupe,539,Hybrid,Blue,196100,New,Clean,None,3,Not Available,Paid,13011.59
Honda,Accord,2015,SUV,10,23,20.6,21.8,6,Automatic,Honda,Honda Accord SUV,267,Hybrid,Blue,181253,New,Salvage,Minor Scratches,2,Available,Unpaid,66617.19
Toyota,Corolla,2006,Wagon,6,15.2,11.4,13.3,3,Manual,Toyota,Toyota Corolla Wagon,414,Hybrid,Blue,133824,New,Rebuilt,Severe Collision,4,Not Available,Unpaid,46293.36
Ford,Fusion,1999,Sedan,8,32.7,22.8,27.8,2,Manual,Ford,Ford Fusion Sedan,247,Hybrid,Blue,147191,New,Rebuilt,Frame Damage,1,Available,Unpaid,22963.4
Chevrolet,Equinox,2003,Wagon,8,38.5,29.9,34.2,7,Manual,Chevrolet,Chevrolet Equinox Wagon,408,Hybrid,Blue,162719,Used,Clean,None,3,Available,Unpaid,75457.4
Toyota,Camry,2000,Coupe,6,24.1,17,20.6,5,Automatic,Toyota,Toyota Camry Coupe,210,Hybrid,Blue,174858,New,Rebuilt,Minor Scratches,1,Not Available,Paid,19486.58
Mercedes,C-Class,2001,Wagon,4,27.9,19,23.4,7,Automatic,Mercedes,Mercedes C-Class Wagon,510,Hybrid,Blue,86657,New,Clean,None,5,Available,Paid,56936.07
Honda,Pilot,2009,Truck,12,30.6,26.7,28.6,4,CVT,Honda,Honda Pilot Truck,347,Hybrid,Blue,124843,Used,Clean,None,5,Not Available,Unpaid,22864.96
BMW,M4,2020,Convertible,8,39,29.5,34.2,4,Automatic,BMW,BMW M4 Convertible,489,Hybrid,Blue,189399,New,Salvage,Minor Scratches,4,Available,Unpaid,42941.24
Hyundai,Santa Fe,2011,Hatchback,8,22.6,18.9,20.8,7,CVT,Hyundai,Hyundai Santa Fe Hatchback,121,Hybrid,Blue,29642,Used,Rebuilt,Flood Damage,5,Not Available,Unpaid,64910.95
Subaru,Impreza,2005,Sedan,3,35.8,27,31.4,5,Automatic,Subaru,Subaru Impreza Sedan,398,Hybrid,Blue,249045,New,Salvage,Flood Damage,5,Available,Unpaid,21920.45
Subaru,Crosstrek,2019,Hatchback,8,21.6,15.9,18.8,3,CVT,Subaru,Subaru Crosstrek Hatchback,524,Hybrid,Blue,197534,Used,Salvage,Minor Scratches,1,Not Available,Unpaid,39772.57
Chevrolet,Malibu,2012,Hatchback,10,16,13.9,14.9,3,Automatic,Chevrolet,Chevrolet Malibu Hatchback,188,Hybrid,Blue,65479,New,Salvage,Frame Damage,3,Available,Paid,65601.24
BMW,M4,2017,Convertible,8,24.9,17.2,21,3,CVT,BMW,BMW M4 Convertible,181,Hybrid,Blue,65986,New,Rebuilt,Frame Damage,4,Not Available,Paid,70978.93
Nissan,Frontier,2013,Truck,10,13.9,11.2,12.6,6,Automatic,Nissan,Nissan Frontier Truck,417,Hybrid,Blue,182390,Used,Clean,None,1,Not Available,Unpaid,41553.45
Mercedes,E-Class,2000,Sedan,6,32.1,28.2,30.1,3,Dual-Clutch,Mercedes,Mercedes E-Class Sedan,337,Hybrid,Blue,53368,New,Clean,None,5,Not Available,Paid,50073.04
Hyundai,Tucson,2004,SUV,4,28.2,23.6,25.9,6,CVT,Hyundai,Hyundai Tucson SUV,222,Hybrid,Blue,194090,New,Clean,None,1,Not Available,Paid,63367.01
Nissan,Pathfinder,2021,Coupe,3,35.3,27,31.1,5,Dual-Clutch,Nissan,Nissan Pathfinder Coupe,274,Hybrid,Blue,199696,New,Rebuilt,Frame Damage,3,Available,Paid,27640.23
BMW,X3,2007,Coupe,6,14.5,11.4,12.9,5,Automatic,BMW,BMW X3 Coupe,147,Hybrid,Blue,68323,Used,Rebuilt,Minor Scratches,4,Available,Paid,70470.35
Mercedes,GLC,2000,Convertible,3,33.2,26.4,29.8,6,Automatic,Mercedes,Mercedes GLC Convertible,448,Hybrid,Blue,115994,New,Clean,None,3,Not Available,Paid,7881.34
Subaru,Forester,2006,Hatchback,8,30.1,23.1,26.6,7,Automatic,Subaru,Subaru Forester Hatchback,116,Hybrid,Blue,229330,New,Rebuilt,Minor Scratches,2,Available,Paid,57723.94
Mercedes,S-Class,2009,SUV,6,18.7,16.6,17.6,3,Automatic,Mercedes,Mercedes S-Class SUV,182,Hybrid,Blue,51375,New,Salvage,Frame Damage,4,Available,Paid,53870.42
Kia,Sorento,2008,SUV,10,23,19.9,21.4,7,CVT,Kia,Kia Sorento SUV,254,Hybrid,Blue,219656,Used,Salvage,Frame Damage,1,Available,Unpaid,47817.15
BMW,X5,2020,Wagon,10,20.1,17.6,18.9,3,Automatic,BMW,BMW X5 Wagon,117,Hybrid,Blue,60704,New,Rebuilt,Minor Scratches,3,Available,Paid,58043.45
Toyota,Tacoma,2000,SUV,8,26.9,21.2,24,5,Dual-Clutch,Toyota,Toyota Tacoma SUV,107,Hybrid,Blue,231308,New,Rebuilt,Flood Damage,2,Not Available,Paid,74354.7
Ford,Fusion,2015,Truck,8,36.4,28.4,32.4,6,Automatic,Ford,Ford Fusion Truck,140,Hybrid,Blue,4786,Used,Clean,None,2,Not Available,Paid,31411.87
Ford,Mustang,2009,Sedan,12,36.4,28.3,32.4,4,Manual,Ford,Ford Mustang Sedan,445,Hybrid,Blue,193520,Used,Salvage,Frame Damage,3,Not Available,Paid,32791.23
Toyota,RAV4,2007,Sedan,4,25.6,20.4,23,5,Dual-Clutch,Toyota,Toyota RAV4 Sedan,404,Hybrid,Blue,105995,Used,Salvage,Minor Scratches,2,Available,Paid,26027.77
Hyundai,Tucson,2020,Sedan,8,27,18.4,22.7,6,Manual,Hyundai,Hyundai Tucson Sedan,431,Hybrid,Blue,77554,Used,Salvage,Flood Damage,2,Available,Unpaid,29287.29
Toyota,Camry,2020,Convertible,3,28.3,22.4,25.4,7,CVT,Toyota,Toyota Camry Convertible,102,Hybrid,Blue,216274,Used,Clean,None,4,Available,Paid,36504.71
Chevrolet,Impala,2022,Truck,12,28.5,22.1,25.3,3,Manual,Chevrolet,Chevrolet Impala Truck,468,Hybrid,Blue,139237,Used,Clean,None,1,Not Available,Unpaid,49623.52
Subaru,Legacy,2004,Coupe,4,19.1,15.3,17.2,6,CVT,Subaru,Subaru Legacy Coupe,233,Hybrid,Blue,145933,New,Salvage,Flood Damage,5,Available,Unpaid,69428.4
Chevrolet,Tahoe,2013,Hatchback,4,31.7,29.3,30.5,3,Automatic,Chevrolet,Chevrolet Tahoe Hatchback,202,Hybrid,Blue,239822,Used,Rebuilt,Frame Damage,4,Not Available,Paid,33813.02
Mercedes,GLC,2005,Hatchback,10,28.7,22.2,25.4,6,Automatic,Mercedes,Mercedes GLC Hatchback,467,Hybrid,Blue,164100,Used,Rebuilt,Flood Damage,1,Not Available,Paid,39817.69
Kia,Telluride,2007,Coupe,6,26.2,17.3,21.8,2,Automatic,Kia,Kia Telluride Coupe,445,Hybrid,Blue,82426,New,Clean,None,5,Available,Paid,18817.89
Nissan,Sentra,2014,Truck,6,32.3,25.9,29.1,4,CVT,Nissan,Nissan Sentra Truck,475,Hybrid,Blue,128378,Used,Clean,None,3,Available,Unpaid,19715.22
Toyota,RAV4,2008,SUV,4,27.1,24.5,25.8,6,CVT,Toyota,Toyota RAV4 SUV,162,Hybrid,Blue,248906,Used,Rebuilt,Frame Damage,4,Available,Unpaid,75555.88
Honda,Fit,2006,Hatchback,4,33.1,26.3,29.7,2,Manual,Honda,Honda Fit Hatchback,300,Hybrid,Blue,167558,Used,Rebuilt,Flood Damage,3,Available,Paid,36552.81
Mercedes,S-Class,2022,Coupe,8,13.1,10.3,11.7,5,CVT,Mercedes,Mercedes S-Class Coupe,450,Hybrid,Blue,129088,Used,Rebuilt,Severe Collision,1,Not Available,Paid,39085.31
Honda,Accord,2006,Wagon,3,19.6,16.6,18.1,5,Automatic,Honda,Honda Accord Wagon,369,Hybrid,Blue,116088,Used,Clean,None,5,Not Available,Unpaid,73024.82
Nissan,Pathfinder,2015,SUV,8,20.9,16.6,18.8,3,Manual,Nissan,Nissan Pathfinder SUV,304,Hybrid,Blue,93192,New,Salvage,Frame Damage,2,Not Available,Paid,8288.58
Chevrolet,Equinox,2003,Coupe,12,26.6,23.2,24.9,7,CVT,Chevrolet,Chevrolet Equinox Coupe,524,Hybrid,Blue,119710,New,Rebuilt,Frame Damage,2,Not Available,Paid,62337.63
Nissan,Frontier,1997,Coupe,3,29.1,21.9,25.5,7,Automatic,Nissan,Nissan Frontier Coupe,131,Hybrid,Blue,7716,Used,Rebuilt,Frame Damage,5,Not Available,Paid,20316.48
Nissan,Frontier,2015,Hatchback,4,28.2,19,23.6,7,Automatic,Nissan,Nissan Frontier Hatchback,551,Hybrid,Blue,56268,Used,Rebuilt,Frame Damage,4,Not Available,Unpaid,33321.16
BMW,X5,2021,Wagon,3,18.5,15.9,17.2,2,CVT,BMW,BMW X5 Wagon,264,Hybrid,Blue,59293,Used,Salvage,Severe Collision,4,Available,Paid,22614.58
Toyota,Tacoma,2015,Truck,3,17.2,14.6,15.9,3,CVT,Toyota,Toyota Tacoma Truck,567,Hybrid,Blue,53136,Used,Rebuilt,Severe Collision,5,Not Available,Unpaid,21741.08
Mercedes,E-Class,2020,SUV,4,21.2,17,19.1,7,CVT,Mercedes,Mercedes E-Class SUV,363,Hybrid,Blue,22142,New,Salvage,Minor Scratches,5,Available,Paid,21071.7
Honda,Accord,1998,Coupe,6,34.1,24.7,29.4,7,CVT,Honda,Honda Accord Coupe,316,Hybrid,Blue,135122,Used,Clean,None,4,Available,Unpaid,28271.87
Mercedes,S-Class,2003,Sedan,8,33.7,24.8,29.2,6,CVT,Mercedes,Mercedes S-Class Sedan,167,Hybrid,Blue,46672,Used,Rebuilt,Minor Scratches,4,Not Available,Unpaid,36527.34
Honda,Pilot,2008,SUV,8,20.4,17.4,18.9,5,Manual,Honda,Honda Pilot SUV,219,Hybrid,Blue,166476,Used,Clean,None,1,Available,Unpaid,65103.06
Honda,CR-V,2022,Hatchback,12,15.4,11.6,13.5,6,CVT,Honda,Honda CR-V Hatchback,419,Hybrid,Blue,122140,Used,Rebuilt,Severe Collision,5,Not Available,Unpaid,14420.19
Honda,Accord,2016,Sedan,8,13.3,11.2,12.2,5,Automatic,Honda,Honda Accord Sedan,169,Hybrid,Blue,120137,Used,Rebuilt,Flood Damage,1,Available,Paid,7171.62
Kia,Sportage,2022,Wagon,3,15.8,11.6,13.7,2,CVT,Kia,Kia Sportage Wagon,276,Hybrid,Blue,250000,Used,Rebuilt,Flood Damage,2,Not Available,Unpaid,6618.81
Mercedes,E-Class,2014,Wagon,4,29.5,25.2,27.4,6,Dual-Clutch,Mercedes,Mercedes E-Class Wagon,154,Hybrid,Blue,160131,New,Clean,None,1,Not Available,Unpaid,77127.46
Mercedes,E-Class,2016,SUV,10,36,27.7,31.9,6,Dual-Clutch,Mercedes,Mercedes E-Class SUV,526,Hybrid,Blue,87072,New,Clean,None,1,Not Available,Paid,18340.92
BMW,5 Series,2005,Wagon,6,30.9,27.9,29.4,3,Automatic,BMW,BMW 5 Series Wagon,214,Hybrid,Blue,230866,New,Rebuilt,Severe Collision,5,Not Available,Paid,42893.57
Hyundai,Tucson,2013,Wagon,12,33.3,27.2,30.2,6,Automatic,Hyundai,Hyundai Tucson Wagon,487,Hybrid,Blue,165032,New,Rebuilt,Frame Damage,2,Not Available,Paid,68781.75
Subaru,Legacy,2019,Wagon,3,22.4,13.4,17.9,4,CVT,Subaru,Subaru Legacy Wagon,406,Hybrid,Blue,133420,New,Clean,None,2,Not Available,Unpaid,74602.33
Chevrolet,Equinox,2017,Convertible,6,33.5,29.2,31.4,3,Dual-Clutch,Chevrolet,Chevrolet Equinox Convertible,520,Hybrid,Blue,22156,New,Clean,None,2,Not Available,Unpaid,20312.34
Subaru,Legacy,2009,Wagon,3,22,14.5,18.2,5,Manual,Subaru,Subaru Legacy Wagon,540,Hybrid,Blue,49445,Used,Salvage,Minor Scratches,1,Not Available,Unpaid,40442.91
Kia,Telluride,1997,Sedan,3,26.2,20.2,23.2,3,CVT,Kia,Kia Telluride Sedan,249,Hybrid,Blue,214143,New,Clean,None,5,Not Available,Paid,31313.5
BMW,5 Series,2012,Coupe,6,17.8,14.3,16.1,3,CVT,BMW,BMW 5 Series Coupe,580,Hybrid,Blue,36521,New,Rebuilt,Severe Collision,5,Not Available,Paid,15678.69
Ford,Fusion,2018,Wagon,3,21,15.1,18.1,6,Manual,Ford,Ford Fusion Wagon,328,Hybrid,Blue,174053,New,Clean,None,2,Available,Paid,12141.87
BMW,3 Series,2014,Coupe,6,21.9,15.1,18.5,2,Automatic,BMW,BMW 3 Series Coupe,448,Hybrid,Blue,15478,New,Salvage,Flood Damage,4,Available,Paid,72601.7
BMW,3 Series,1996,Convertible,8,15.9,10.4,13.2,2,CVT,BMW,BMW 3 Series Convertible,321,Hybrid,Blue,127753,New,Salvage,Severe Collision,5,Available,Paid,12865.45
Subaru,Forester,2006,Wagon,12,15.7,12.7,14.2,4,CVT,Subaru,Subaru Forester Wagon,408,Hybrid,Blue,209137,New,Salvage,Minor Scratches,3,Available,Paid,37576.65
Ford,F-150,2000,SUV,6,24.7,19.7,22.2,4,Dual-Clutch,Ford,Ford F-150 SUV,405,Hybrid,Blue,207325,Used,Clean,None,3,Available,Unpaid,42175.35
Mercedes,GLE,1998,Wagon,6,33.9,24.2,29,4,Manual,Mercedes,Mercedes GLE Wagon,451,Hybrid,Blue,131507,New,Clean,None,3,Not Available,Paid,35439.75
Kia,Telluride,2018,Hatchback,10,34.2,27.2,30.7,2,Manual,Kia,Kia Telluride Hatchback,466,Hybrid,Blue,68380,Used,Rebuilt,Flood Damage,4,Available,Unpaid,60702.44
Subaru,Impreza,2018,Convertible,8,36.6,27.4,32,4,Automatic,Subaru,Subaru Impreza Convertible,326,Hybrid,Blue,28405,Used,Salvage,Severe Collision,2,Not Available,Paid,29174.08
Ford,F-150,2009,SUV,10,21,12.2,16.6,6,Manual,Ford,Ford F-150 SUV,146,Hybrid,Blue,28420,Used,Clean,None,5,Not Available,Unpaid,13579.64
Mercedes,S-Class,2013,Sedan,12,21.1,18.7,19.9,7,Automatic,Mercedes,Mercedes S-Class Sedan,326,Hybrid,Blue,42609,Used,Salvage,Severe Collision,1,Not Available,Unpaid,38661.01
Ford,F-150,2013,Coupe,3,23.1,15.9,19.5,4,Dual-Clutch,Ford,Ford F-150 Coupe,266,Hybrid,Blue,182527,New,Rebuilt,Minor Scratches,5,Available,Unpaid,29188.31
Kia,Optima,2008,Truck,8,15.6,11.5,13.6,7,Automatic,Kia,Kia Optima Truck,195,Hybrid,Blue,50436,New,Salvage,Frame Damage,5,Available,Paid,19083.51
Chevrolet,Impala,2023,Convertible,6,32.8,27.1,29.9,3,Dual-Clutch,Chevrolet,Chevrolet Impala Convertible,186,Hybrid,Blue,192022,New,Salvage,Minor Scratches,5,Not Available,Paid,26073.34
Kia,Telluride,2022,Convertible,12,32.1,28.2,30.1,6,Dual-Clutch,Kia,Kia Telluride Convertible,464,Hybrid,Blue,131813,Used,Salvage,Frame Damage,2,Available,Unpaid,11311.42
Subaru,Legacy,2020,Convertible,3,31.7,25.9,28.8,5,Manual,Subaru,Subaru Legacy Convertible,526,Hybrid,Blue,65090,Used,Clean,None,3,Available,Paid,66077.58
Subaru,Crosstrek,2021,Sedan,12,24.7,22.3,23.5,6,Automatic,Subaru,Subaru Crosstrek Sedan,399,Hybrid,Blue,213696,New,Clean,None,5,Available,Unpaid,15297.06
Chevrolet,Silverado,2016,Hatchback,10,18.4,13.1,15.8,3,Automatic,Chevrolet,Chevrolet Silverado Hatchback,247,Hybrid,Blue,74325,Used,Rebuilt,Severe Collision,4,Available,Paid,56285.98
Nissan,Altima,2003,Sedan,10,17.2,12.7,14.9,5,Dual-Clutch,Nissan,Nissan Altima Sedan,244,Hybrid,Blue,193404,New,Rebuilt,Minor Scratches,1,Not Available,Paid,71006.53
Nissan,Altima,2021,Coupe,3,21,14.8,17.9,6,Manual,Nissan,Nissan Altima Coupe,253,Hybrid,Blue,222464,Used,Salvage,Flood Damage,4,Not Available,Unpaid,47051.96
Nissan,Rogue,1996,Hatchback,10,19.4,12.6,16,4,CVT,Nissan,Nissan Rogue Hatchback,478,Hybrid,Blue,122736,Used,Clean,None,1,Not Available,Unpaid,33994.84
Toyota,Tacoma,2020,Truck,8,22,12.8,17.4,4,Dual-Clutch,Toyota,Toyota Tacoma Truck,109,Hybrid,Blue,105640,New,Clean,None,2,Not Available,Unpaid,44161.15
Chevrolet,Tahoe,1997,Wagon,10,28.5,22.9,25.7,7,CVT,Chevrolet,Chevrolet Tahoe Wagon,466,Hybrid,Blue,20143,Used,Rebuilt,Flood Damage,2,Not Available,Unpaid,30928.85
Subaru,Crosstrek,2022,Wagon,4,29.5,22.2,25.9,4,Dual-Clutch,Subaru,Subaru Crosstrek Wagon,307,Hybrid,Blue,219035,New,Clean,None,1,Available,Unpaid,64427.87
Honda,Civic,2019,Coupe,3,22.9,13.2,18,6,Manual,Honda,Honda Civic Coupe,461,Hybrid,Blue,182118,Used,Rebuilt,Minor Scratches,5,Available,Unpaid,6713.19
Chevrolet,Malibu,1997,Coupe,3,29.8,25,27.4,5,Manual,Chevrolet,Chevrolet Malibu Coupe,175,Hybrid,Blue,136231,Used,Salvage,Minor Scratches,5,Not Available,Unpaid,36588.2
Nissan,Altima,2005,SUV,6,20.6,12.4,16.5,2,Manual,Nissan,Nissan Altima SUV,488,Hybrid,Blue,194789,New,Clean,None,5,Not Available,Paid,32165.16
Mercedes,GLE,1998,Coupe,3,24.2,18.6,21.4,4,Dual-Clutch,Mercedes,Mercedes GLE Coupe,335,Hybrid,Blue,20493,Used,Salvage,Flood Damage,4,Not Available,Paid,22753.81
Subaru,Outback,2020,Coupe,12,26.4,22.8,24.6,4,Dual-Clutch,Subaru,Subaru Outback Coupe,427,Hybrid,Blue,86011,New,Clean,None,2,Available,Unpaid,10595.96
Honda,Civic,1998,Truck,3,30.6,26.8,28.7,3,CVT,Honda,Honda Civic Truck,454,Hybrid,Blue,160140,Used,Rebuilt,Severe Collision,5,Available,Unpaid,79600.3
Kia,Telluride,2003,Convertible,3,21.1,15.8,18.5,4,Automatic,Kia,Kia Telluride Convertible,394,Hybrid,Blue,35875,Used,Rebuilt,Flood Damage,2,Available,Unpaid,22071.02
Subaru,Forester,1998,Wagon,10,31.9,23.6,27.8,5,CVT,Subaru,Subaru Forester Wagon,537,Hybrid,Blue,39704,New,Clean,None,3,Available,Unpaid,16323.99
Ford,F-150,2021,Truck,8,17.5,10.5,14,6,CVT,Ford,Ford F-150 Truck,370,Hybrid,Blue,119491,New,Salvage,Flood Damage,4,Not Available,Paid,18625.84
Subaru,Impreza,2004,Wagon,6,15,10,12.5,4,Manual,Subaru,Subaru Impreza Wagon,168,Hybrid,Blue,48600,New,Rebuilt,Severe Collision,3,Available,Paid,69042.2
Nissan,Frontier,2001,Sedan,8,26.9,21.8,24.4,5,Dual-Clutch,Nissan,Nissan Frontier Sedan,290,Hybrid,Blue,171697,Used,Rebuilt,Severe Collision,4,Not Available,Unpaid,54672.49
Mercedes,C-Class,2018,SUV,10,26,22.3,24.1,5,Automatic,Mercedes,Mercedes C-Class SUV,502,Hybrid,Blue,206558,Used,Rebuilt,Flood Damage,1,Not Available,Unpaid,21925.49
Mercedes,E-Class,2023,Hatchback,10,27.6,17.9,22.8,4,Manual,Mercedes,Mercedes E-Class Hatchback,587,Hybrid,Blue,225355,Used,Salvage,Frame Damage,4,Available,Paid,55486.37
Mercedes,C-Class,2014,Truck,10,37.6,28.3,33,2,Automatic,Mercedes,Mercedes C-Class Truck,510,Hybrid,Blue,118529,Used,Salvage,Severe Collision,3,Available,Unpaid,67401.79
